Time(s),Temperature(oC)
0.001,22.93
1.000,22.93
2.000,22.93
2.999,22.93
3.999,22.93
4.998,22.93
5.997,22.93
6.997,22.93
7.997,22.93
8.998,22.93
9.998,22.93
10.999,22.93
11.999,22.93
13.000,22.93
14.000,22.85
15.001,22.93
16.001,22.93
17.001,22.93
18.002,22.93
19.002,22.93
20.003,22.93
21.003,22.93
22.004,23.01
23.004,22.93
24.005,22.93
25.005,22.93
26.005,22.93
27.006,22.93
28.006,22.93
29.007,22.93
30.007,22.93
31.007,22.93
32.006,22.93
33.005,22.93
34.004,22.93
35.004,22.93
36.004,22.93
37.004,22.93
38.004,22.93
39.003,22.93
40.002,22.93
41.001,23.01
42.001,22.93
43.001,22.93
44.000,22.93
45.000,22.93
45.999,23.01
46.998,23.33
47.999,24.47
48.999,24.14
50.000,23.90
51.000,23.90
52.000,23.98
52.999,23.98
53.999,23.98
54.997,24.14
55.997,24.23
56.998,23.98
57.998,23.90
58.999,23.98
59.998,24.06
60.999,24.14
61.998,24.06
62.998,24.23
63.998,24.39
64.998,24.47
65.999,24.71
66.999,24.80
68.000,24.96
69.000,25.04
70.001,25.04
71.000,24.96
71.999,24.96
72.999,24.88
73.999,24.88
75.000,24.80
76.000,24.88
77.000,24.88
77.999,24.88
78.998,24.96
79.998,25.04
80.998,25.04
81.999,24.96
82.999,25.12
84.000,25.12
85.000,25.29
86.001,25.61
87.001,25.53
88.000,25.70
89.001,25.53
90.000,25.12
91.001,25.45
92.000,25.37
93.001,25.37
94.001,24.80
95.002,25.29
96.002,25.29
97.002,26.03
98.003,25.61
99.002,25.45
100.003,25.37
101.003,25.53
102.004,25.45
103.004,25.37
104.005,25.29
105.005,25.29
106.005,25.20
107.006,25.20
108.006,25.12
109.007,25.04
110.007,25.04
111.008,24.96
112.008,24.88
113.009,24.88
114.009,24.88
115.009,24.88
116.009,24.71
117.008,24.71
118.008,24.71
119.007,24.63
120.007,24.55
121.007,24.47
122.007,24.47
123.007,24.47
124.007,24.55
125.008,24.55
126.008,24.55
127.009,24.55
128.009,24.80
129.010,24.71
130.010,24.71
131.010,24.71
132.010,24.71
133.010,24.96
134.010,24.96
135.009,25.04
136.009,25.29
137.008,25.70
138.007,25.86
139.007,25.78
140.007,25.70
141.008,25.53
142.008,25.53
143.009,25.45
144.009,25.37
145.010,25.29
146.010,25.29
147.010,25.45
148.010,25.53
149.010,25.37
150.011,25.29
151.011,25.29
152.012,25.45
153.011,25.94
154.011,26.36
155.010,26.77
156.009,27.02
157.009,27.19
158.009,27.44
159.010,27.60
160.010,27.69
161.011,27.85
162.011,27.69
163.012,27.52
164.012,27.44
165.012,27.35
166.013,27.27
167.013,27.19
168.014,27.10
169.014,26.94
170.015,26.85
171.014,26.77
172.015,26.69
173.013,26.60
174.012,26.52
175.012,26.44
176.011,26.27
177.012,26.27
178.012,26.19
179.013,26.03
