Time(s),Temperature(oC)
0.0,14.142
1.0,14.142
2.0,14.142
3.0,14.142
4.0,14.068
5.0,14.142
6.0,14.291
7.0,14.142
8.0,14.142
9.0,14.068
10.0,14.068
11.0,14.068
12.0,14.142
13.0,14.142
14.0,14.216
15.0,14.216
16.0,14.291
17.0,14.291
18.0,14.365
19.0,14.291
20.0,14.365
21.0,14.291
22.0,14.291
23.0,14.365
24.0,14.291
25.0,14.291
26.0,14.365
27.0,14.365
28.0,14.291
29.0,14.365
30.0,14.291
31.0,14.439
32.0,14.365
33.0,14.365
34.0,14.365
35.0,14.365
36.0,14.365
37.0,14.439
38.0,14.439
39.0,14.439
40.0,14.513
41.0,14.513
42.0,14.587
43.0,14.587
44.0,14.587
45.0,14.587
46.0,14.661
47.0,14.735
48.0,14.661
49.0,14.735
50.0,14.735
51.0,14.809
52.0,14.661
53.0,14.587
54.0,14.587
55.0,14.439
56.0,14.513
57.0,14.439
58.0,14.513
59.0,14.513
60.0,14.513
61.333,14.513
62.667,14.587
64.0,14.587
65.333,14.513
66.667,14.513
68.0,14.587
69.333,14.587
70.667,14.587
72.0,14.661
73.333,14.735
74.667,14.735
76.0,14.809
77.333,14.809
78.667,14.883
80.0,14.883
81.333,14.809
82.667,14.809
84.0,14.809
85.333,14.809
86.667,14.809
88.0,14.809
89.333,14.735
90.667,14.809
92.0,14.809
93.333,14.883
94.667,14.883
96.0,14.883
97.333,14.956
98.667,14.956
100.0,14.956
101.333,15.03
102.667,15.03
104.0,14.956
105.333,14.956
106.667,15.104
108.0,14.883
109.333,14.883
110.667,14.956
112.0,14.883
113.333,14.883
114.667,14.883
116.0,14.956
117.333,14.956
118.667,15.03
120.001,15.03
121.876,14.956
123.751,14.956
125.626,14.956
127.501,14.956
129.376,14.883
131.251,14.956
133.126,14.956
135.001,14.883
136.876,14.735
138.751,14.735
140.626,14.809
142.501,14.661
144.376,14.587
146.251,14.587
148.126,14.513
150.001,14.513
151.876,14.513
153.751,14.439
155.626,14.439
157.501,14.439
159.376,14.365
161.251,14.365
163.126,14.365
165.001,14.439
166.876,14.291
168.751,14.439
170.626,14.365
172.501,14.365
174.376,14.365
176.251,14.365
178.126,14.365
